                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.77493,                0.41323,                0.88585,                0.94132,                0.96028,                0.96126,                0.72367,                 1.0184,                 0.5124,                0.96848,              0.0071884,              0.0071884,              0.0071884
                     73,                0.78731,                0.42556,                0.87986,                0.93052,                0.97405,                0.98716,                0.76601,                0.99696,                0.48535,                0.96424,              0.0071488,              0.0071488,              0.0071488
                     74,                0.77001,                0.41584,                0.88742,                0.92631,                0.96008,                0.97856,                0.72164,                 1.0344,                0.48336,                0.97853,              0.0071092,              0.0071092,              0.0071092
                     75,                0.78559,                0.42422,                0.87097,                 0.9629,                0.91277,                0.97486,                0.74656,                 1.0002,                0.49498,                0.96243,              0.0070696,              0.0070696,              0.0070696
                     76,                0.78104,                0.41576,                 0.8772,                0.92092,                0.93842,                0.98199,                 0.7547,                0.99241,                0.50469,                0.95835,                0.00703,                0.00703,                0.00703
                     77,                0.77345,                0.41474,                0.87543,                0.90885,                 0.9603,                0.96286,                0.72709,                 1.0304,                0.54177,                0.98402,              0.0069904,              0.0069904,              0.0069904
                     78,                0.76792,                0.41003,                0.87845,                0.91066,                0.97039,                0.97674,                0.71524,                 1.0391,                0.50716,                0.98609,              0.0069508,              0.0069508,              0.0069508
                     79,                 0.7681,                 0.4137,                0.87705,                0.89598,                0.94889,                0.97758,                0.76794,                0.97844,                0.48437,                0.95277,              0.0069112,              0.0069112,              0.0069112
                     80,                0.76274,                0.40941,                0.87205,                0.94792,                0.93562,                0.97901,                0.75508,                0.99908,                0.48533,                0.95097,              0.0068716,              0.0068716,              0.0068716
                     81,                0.77461,                 0.4157,                0.88109,                0.97533,                0.98415,                0.98694,                0.73085,                 1.0239,                0.48246,                0.97946,               0.006832,               0.006832,               0.006832
                     82,                0.76385,                0.41723,                0.87712,                 0.8898,                0.98217,                0.97802,                0.75437,                0.98203,                0.46861,                0.95327,              0.0067924,              0.0067924,              0.0067924
                     83,                0.78127,                0.41941,                0.88564,                0.93422,                0.94105,                0.96969,                0.72753,                  1.014,                0.52587,                0.97416,              0.0067528,              0.0067528,              0.0067528
                     84,                0.75859,                0.40657,                0.88084,                0.95356,                0.96025,                0.97654,                 0.7376,                0.99258,                 0.4848,                0.96513,              0.0067132,              0.0067132,              0.0067132
                     85,                0.74699,                0.40528,                0.87154,                0.91521,                0.96463,                0.97502,                0.74918,                0.99788,                0.49141,                0.96497,              0.0066736,              0.0066736,              0.0066736
                     86,                0.75778,                0.40813,                0.87174,                0.95821,                0.97086,                0.98505,                0.74455,                0.96799,                0.48553,                0.95397,               0.006634,               0.006634,               0.006634
                     87,                0.75747,                 0.4162,                0.87776,                0.96739,                0.91301,                 0.9734,                0.76109,                0.93838,                0.48292,                0.94466,              0.0065944,              0.0065944,              0.0065944
                     88,                0.76529,                 0.4042,                 0.8707,                0.91407,                0.96009,                0.97657,                0.74203,                0.99466,                0.48076,                0.96033,              0.0065548,              0.0065548,              0.0065548
                     89,                0.75824,                0.40722,                0.87084,                0.91287,                0.94666,                0.96275,                0.73502,                 1.0095,                0.54408,                0.96658,              0.0065152,              0.0065152,              0.0065152
                     90,                0.74166,                0.40396,                 0.8699,                0.91554,                0.94688,                0.95837,                0.74158,                0.95513,                0.49226,                0.95431,              0.0064756,              0.0064756,              0.0064756
                     91,                0.74942,                0.40349,                0.87347,                0.94088,                 0.9346,                0.97078,                0.75223,                0.94992,                 0.4936,                0.94823,               0.006436,               0.006436,               0.006436
                     92,                0.76493,                0.41085,                0.87844,                0.92767,                0.95084,                0.94917,                0.74043,                0.96363,                0.48913,                0.95683,              0.0063964,              0.0063964,              0.0063964
                     93,                 0.7461,                0.40072,                0.87043,                0.97158,                0.90518,                0.98115,                0.72972,                  1.005,                0.49397,                0.96801,              0.0063568,              0.0063568,              0.0063568
                     94,                0.75675,                0.40491,                0.87353,                0.95611,                0.91838,                0.96249,                0.73638,                0.99167,                0.49891,                0.95263,              0.0063172,              0.0063172,              0.0063172
                     95,                0.75651,                0.39997,                 0.8708,                0.91737,                  0.928,                0.97769,                0.75344,                0.95902,                0.46736,                0.94225,              0.0062776,              0.0062776,              0.0062776
                     96,                 0.7372,                0.39891,                0.86424,                0.94899,                0.92277,                0.98086,                0.75142,                0.96163,                0.45645,                0.95171,               0.006238,               0.006238,               0.006238
                     97,                0.75106,                0.40077,                0.87039,                0.91324,                0.96202,                0.97647,                0.72833,                 1.0189,                0.48382,                0.96882,              0.0061984,              0.0061984,              0.0061984
                     98,                0.75841,                0.39605,                0.86632,                0.95545,                0.93669,                0.97625,                0.74526,                 1.0083,                0.46808,                0.96235,              0.0061588,              0.0061588,              0.0061588
                     99,                0.73992,                0.40277,                0.86605,                0.94047,                0.93839,                0.98307,                0.74096,                 1.0137,                0.49064,                0.96565,              0.0061192,              0.0061192,              0.0061192
                    100,                0.75009,                0.39025,                0.86688,                0.96276,                 0.9149,                 0.9865,                0.76073,                0.96656,                0.48076,                0.95335,              0.0060796,              0.0060796,              0.0060796
                    101,                0.74059,                0.39512,                0.86479,                0.96341,                0.96554,                0.98439,                0.74649,                0.97669,                0.43473,                0.94993,                0.00604,                0.00604,                0.00604
                    102,                0.73011,                0.38246,                0.86539,                0.93621,                 0.9479,                0.98331,                0.76243,                0.96765,                  0.452,                 0.9532,              0.0060004,              0.0060004,              0.0060004
                    103,                 0.7209,                0.38029,                0.86159,                0.95838,                0.91678,                0.98125,                0.74838,                 1.0004,                 0.4717,                0.96109,              0.0059608,              0.0059608,              0.0059608
